x, y
407.199383559458, 999.9440667647575
806.0567705431822, 700.2748557509249
398.41145502939906, 996.2673057616244
415.01230166039, 988.7869959799231
1512.1730723406306, 1299.2712472328706
1501.5950055498824, 1313.0004949553197
829.5254345122097, 686.5917959316484
1493.4123368449318, 1291.0899550411782
1505.0186428718862, 1307.0794998323431
396.82292767215233, 1005.5588454402126
400.8595660326928, 1005.9232709892517
791.2468086447536, 683.1982991159778
392.92977261061714, 1009.3715339036089
802.902913331165, 693.885321739248
392.9148851775648, 1000.6763931894058
811.7456109776736, 686.7075132607287
808.875628782344, 689.6634275279173
799.0694259573788, 697.0862850299494
1520.5569661455397, 1303.1186345412302
804.5473220110548, 718.0014990905347
793.2124928680432, 700.6557782691573
1501.7193834645664, 1306.2429022446267
1494.5801123744295, 1294.5905567140114
401.36082632157064, 1007.5266636438133
795.5660819671662, 691.330983584855
400.1400824827336, 1003.8724660218206
403.07623654037275, 993.7672390362657
1513.2074912451808, 1300.4678373015274
1504.2477661984306, 1310.1180332835777
1514.4974395292602, 1292.2043171295727
